order_id;token_id;image_url;coin;amount_sold;updated_timestamp
210482289;94387;https://assets.illuvium-game.io/illuvidex/land/land-94387.svg;ETH;1.155;2022-06-23T08:26:47.194613Z
210474983;14234;https://assets.illuvium-game.io/illuvidex/land/land-14234.svg;ETH;2.352;2022-06-23T07:44:00.552572Z
210467366;8398;https://assets.illuvium-game.io/illuvidex/land/land-8398.svg;ETH;0.689;2022-06-23T07:00:48.059292Z
210467213;25921;https://assets.illuvium-game.io/illuvidex/land/land-25921.svg;ETH;0.7261;2022-06-23T06:59:58.642297Z
210458197;60385;https://assets.illuvium-game.io/illuvidex/land/land-60385.svg;ETH;0.5775;2022-06-23T06:05:29.618676Z
210445741;80656;https://assets.illuvium-game.io/illuvidex/land/land-80656.svg;ETH;1.575;2022-06-23T04:45:58.303856Z
210440840;26275;https://assets.illuvium-game.io/illuvidex/land/land-26275.svg;ETH;21.0;2022-06-23T04:11:05.637845Z
210440299;11676;https://assets.illuvium-game.io/illuvidex/land/land-11676.svg;ETH;2.205;2022-06-23T04:07:39.101671Z
210426833;55905;https://assets.illuvium-game.io/illuvidex/land/land-55905.svg;ETH;0.5088;2022-06-23T02:38:50.89146Z
210403631;79780;https://assets.illuvium-game.io/illuvidex/land/land-79780.svg;ETH;2.8302;2022-06-22T23:50:12.928788Z
210393482;22937;https://assets.illuvium-game.io/illuvidex/land/land-22937.svg;ETH;3.922;2022-06-22T22:40:22.68147Z
210389330;65114;https://assets.illuvium-game.io/illuvidex/land/land-65114.svg;ETH;2.625;2022-06-22T22:12:55.512525Z
210389058;88672;https://assets.illuvium-game.io/illuvidex/land/land-88672.svg;ETH;1.575;2022-06-22T22:11:32.648072Z
210388911;86426;https://assets.illuvium-game.io/illuvidex/land/land-86426.svg;ETH;1.575;2022-06-22T22:10:06.131585Z
210388794;81007;https://assets.illuvium-game.io/illuvidex/land/land-81007.svg;ETH;0.82425;2022-06-22T22:09:19.972352Z
210388688;9701;https://assets.illuvium-game.io/illuvidex/land/land-9701.svg;ETH;2.1;2022-06-22T22:08:28.692147Z
210388385;55262;https://assets.illuvium-game.io/illuvidex/land/land-55262.svg;ETH;1.575;2022-06-22T22:06:38.287764Z
210388108;84583;https://assets.illuvium-game.io/illuvidex/land/land-84583.svg;ETH;52.5;2022-06-22T22:04:37.415955Z
210388001;92335;https://assets.illuvium-game.io/illuvidex/land/land-92335.svg;ETH;0.7875;2022-06-22T22:03:58.83061Z
210387957;84584;https://assets.illuvium-game.io/illuvidex/land/land-84584.svg;ETH;52.5;2022-06-22T22:03:43.390003Z
210387855;84646;https://assets.illuvium-game.io/illuvidex/land/land-84646.svg;ETH;52.5;2022-06-22T22:02:58.967504Z
210387761;5564;https://assets.illuvium-game.io/illuvidex/land/land-5564.svg;ETH;2.625;2022-06-22T22:02:21.563643Z
210387721;84647;https://assets.illuvium-game.io/illuvidex/land/land-84647.svg;ETH;52.5;2022-06-22T22:02:07.143551Z
210387453;51848;https://assets.illuvium-game.io/illuvidex/land/land-51848.svg;ETH;2.65;2022-06-22T22:00:20.804319Z
210383967;97677;https://assets.illuvium-game.io/illuvidex/land/land-97677.svg;ETH;2.65;2022-06-22T21:38:14.064925Z
210374249;93593;https://assets.illuvium-game.io/illuvidex/land/land-93593.svg;ETH;1.26;2022-06-22T20:36:29.073316Z
210372061;11985;https://assets.illuvium-game.io/illuvidex/land/land-11985.svg;ETH;55.65;2022-06-22T20:21:57.500437Z
210369512;5345;https://assets.illuvium-game.io/illuvidex/land/land-5345.svg;ETH;3.15;2022-06-22T20:07:17.890936Z
210361944;22756;https://assets.illuvium-game.io/illuvidex/land/land-22756.svg;ETH;10.4895;2022-06-22T19:20:27.610979Z
210361419;17414;https://assets.illuvium-game.io/illuvidex/land/land-17414.svg;USDC;1574.153;2022-06-22T19:17:24.968933Z
210354670;44787;https://assets.illuvium-game.io/illuvidex/land/land-44787.svg;ETH;15.75;2022-06-22T18:41:54.849383Z
210337417;53646;https://assets.illuvium-game.io/illuvidex/land/land-53646.svg;ETH;2.625;2022-06-22T17:20:39.112048Z
210328402;8410;https://assets.illuvium-game.io/illuvidex/land/land-8410.svg;ETH;3.675;2022-06-22T16:47:13.070442Z
210323380;74569;https://assets.illuvium-game.io/illuvidex/land/land-74569.svg;USDC;1575.0;2022-06-22T16:26:19.329556Z
210321429;11565;https://assets.illuvium-game.io/illuvidex/land/land-11565.svg;ETH;2.016;2022-06-22T16:18:10.079412Z
210321297;776;https://assets.illuvium-game.io/illuvidex/land/land-776.svg;ETH;1.596;2022-06-22T16:17:41.243871Z
210321185;96430;https://assets.illuvium-game.io/illuvidex/land/land-96430.svg;ETH;4.536;2022-06-22T16:17:16.443617Z
210320915;45998;https://assets.illuvium-game.io/illuvidex/land/land-45998.svg;ETH;1.6275;2022-06-22T16:16:19.58085Z
210320788;33431;https://assets.illuvium-game.io/illuvidex/land/land-33431.svg;ETH;1.47;2022-06-22T16:15:57.034479Z
210320671;4077;https://assets.illuvium-game.io/illuvidex/land/land-4077.svg;ETH;18.9;2022-06-22T16:15:32.755817Z
210318741;36473;https://assets.illuvium-game.io/illuvidex/land/land-36473.svg;ETH;0.689;2022-06-22T16:07:43.817397Z
210310726;60180;https://assets.illuvium-game.io/illuvidex/land/land-60180.svg;ETH;210.0;2022-06-22T15:33:11.662182Z
210306802;71565;https://assets.illuvium-game.io/illuvidex/land/land-71565.svg;ETH;84.0;2022-06-22T15:16:03.871351Z
210296732;38964;https://assets.illuvium-game.io/illuvidex/land/land-38964.svg;ETH;21.0;2022-06-22T14:25:14.127258Z
210287017;52587;https://assets.illuvium-game.io/illuvidex/land/land-52587.svg;ETH;0.5088;2022-06-22T13:37:10.013668Z
210286038;39769;https://assets.illuvium-game.io/illuvidex/land/land-39769.svg;ETH;0.735;2022-06-22T13:32:30.279077Z
210285952;32529;https://assets.illuvium-game.io/illuvidex/land/land-32529.svg;ETH;7.0245;2022-06-22T13:32:07.299724Z
210285837;21706;https://assets.illuvium-game.io/illuvidex/land/land-21706.svg;ETH;2.4675;2022-06-22T13:31:39.41012Z
210285675;76374;https://assets.illuvium-game.io/illuvidex/land/land-76374.svg;ETH;1.7325;2022-06-22T13:30:56.650478Z
210285560;79874;https://assets.illuvium-game.io/illuvidex/land/land-79874.svg;ETH;5.3445;2022-06-22T13:30:22.887622Z
210285473;75341;https://assets.illuvium-game.io/illuvidex/land/land-75341.svg;ETH;0.735;2022-06-22T13:29:54.92197Z
210281630;81024;https://assets.illuvium-game.io/illuvidex/land/land-81024.svg;ETH;5.775;2022-06-22T13:09:03.403158Z
210276707;32573;https://assets.illuvium-game.io/illuvidex/land/land-32573.svg;ETH;2.862;2022-06-22T12:42:16.539753Z
210276068;80395;https://assets.illuvium-game.io/illuvidex/land/land-80395.svg;ETH;0.7844;2022-06-22T12:38:27.794373Z
210273236;24180;https://assets.illuvium-game.io/illuvidex/land/land-24180.svg;ETH;6.93;2022-06-22T12:24:46.985843Z
210272858;9019;https://assets.illuvium-game.io/illuvidex/land/land-9019.svg;ETH;1.89;2022-06-22T12:22:43.553763Z
210272496;66644;https://assets.illuvium-game.io/illuvidex/land/land-66644.svg;ETH;0.68775;2022-06-22T12:20:54.42446Z
210266073;8456;https://assets.illuvium-game.io/illuvidex/land/land-8456.svg;USDC;20998.95;2022-06-22T11:50:05.399157Z
210258501;14241;https://assets.illuvium-game.io/illuvidex/land/land-14241.svg;ETH;0.714;2022-06-22T11:09:07.193061Z
210258445;5799;https://assets.illuvium-game.io/illuvidex/land/land-5799.svg;ETH;1.995;2022-06-22T11:08:41.488785Z
210258257;55525;https://assets.illuvium-game.io/illuvidex/land/land-55525.svg;ETH;0.7875;2022-06-22T11:07:43.16823Z
210258122;52316;https://assets.illuvium-game.io/illuvidex/land/land-52316.svg;ETH;0.735;2022-06-22T11:06:56.289625Z
210258018;31227;https://assets.illuvium-game.io/illuvidex/land/land-31227.svg;ETH;0.735;2022-06-22T11:06:17.71942Z
210252417;47174;https://assets.illuvium-game.io/illuvidex/land/land-47174.svg;ETH;4.6534;2022-06-22T10:34:29.967745Z
210237610;56521;https://assets.illuvium-game.io/illuvidex/land/land-56521.svg;ETH;0.63;2022-06-22T09:20:42.106053Z
210237420;12325;https://assets.illuvium-game.io/illuvidex/land/land-12325.svg;ETH;0.6825;2022-06-22T09:19:49.301884Z
